"";"";"Aircraft movements|Cross-country flights";"Aircraft movements|Local flights";"Commercial air traffic|Flights|All flights|Total flights";"Commercial air traffic|Flights|All flights|Scheduled";"Commercial air traffic|Passengers|Total passengers|Total passengers";"Commercial air traffic|Cargo|Total cargo|Total cargo";"Commercial air traffic|Mail|Total mail|Total mail"
"Airports";"Periods";"number";"number";"number";"number";"number";"ton";"ton"
"Amsterdam Airport Schiphol";"1999 January";"30391";"672";"29640";"28177";"2372,578";"88159";"."
"Amsterdam Airport Schiphol";"1999 February";"28302";"550";"27526";"26080";"2332,664";"94718";"."
"Amsterdam Airport Schiphol";"1999 March";"32595";"784";"31473";"29746";"2825,328";"108780";"."
"Amsterdam Airport Schiphol";"1999 April";"33069";"858";"32013";"29834";"2901,478";"97708";"."
"Amsterdam Airport Schiphol";"1999 May";"35221";"732";"34133";"30743";"3263,955";"97092";"."
"Amsterdam Airport Schiphol";"1999 June";"34707";"828";"33426";"30391";"3226,738";"92819";"."
"Amsterdam Airport Schiphol";"1999 July";"36589";"832";"35529";"31540";"3610,786";"96040";"."
"Amsterdam Airport Schiphol";"1999 August";"36485";"678";"35625";"31518";"3709,274";"90496";"."
"Amsterdam Airport Schiphol";"1999 September";"35656";"726";"34411";"31025";"3467,185";"95374";"."
"Amsterdam Airport Schiphol";"1999 October";"36292";"620";"35126";"31991";"3449,646";"107464";"."
"Amsterdam Airport Schiphol";"1999 November";"34169";"622";"33182";"31520";"2802,951";"106774";"."
"Amsterdam Airport Schiphol";"1999 December";"32288";"548";"31521";"30014";"2462,530";"105293";"."
"Amsterdam Airport Schiphol";"2000 January";"33358";"288";"32537";"31076";"2490,645";"92023";"."
"Amsterdam Airport Schiphol";"2000 February";"32989";"304";"31894";"30435";"2561,520";"99681";"."
"Amsterdam Airport Schiphol";"2000 March";"35420";"273";"34263";"32455";"3067,554";"109485";"."
"Amsterdam Airport Schiphol";"2000 April";"35030";"342";"33815";"31347";"3226,951";"100535";"."
"Amsterdam Airport Schiphol";"2000 May";"37911";"412";"36539";"32994";"3546,493";"98759";"."
"Amsterdam Airport Schiphol";"2000 June";"36727";"308";"35206";"31902";"3492,787";"96432";"."
"Amsterdam Airport Schiphol";"2000 July";"38287";"338";"37108";"32763";"3952,263";"98766";"."
"Amsterdam Airport Schiphol";"2000 August";"38300";"388";"37258";"32876";"3932,072";"94547";"."
"Amsterdam Airport Schiphol";"2000 September";"36788";"309";"35496";"31846";"3720,284";"103074";"."
"Amsterdam Airport Schiphol";"2000 October";"37315";"253";"36170";"32689";"3651,555";"110050";"."
"Amsterdam Airport Schiphol";"2000 November";"34018";"310";"32902";"31222";"2914,972";"107780";"."
"Amsterdam Airport Schiphol";"2000 December";"32546";"245";"31739";"30042";"2713,514";"111462";"."
"Amsterdam Airport Schiphol";"2001 January";"33669";"282";"32835";"31212";"2703,997";"95384";"."
"Amsterdam Airport Schiphol";"2001 February";"31384";"259";"30436";"28787";"2591,373";"99928";"."
"Amsterdam Airport Schiphol";"2001 March";"35662";"255";"34529";"32433";"3163,748";"111857";"."
"Amsterdam Airport Schiphol";"2001 April";"35132";"314";"34151";"31674";"3355,137";"97008";"."
"Amsterdam Airport Schiphol";"2001 May";"38467";"409";"37255";"33609";"3613,702";"94515";"."
"Amsterdam Airport Schiphol";"2001 June";"37382";"277";"36209";"32724";"3686,773";"93457";"."
"Amsterdam Airport Schiphol";"2001 July";"39373";"328";"38386";"33974";"4098,716";"89024";"."
"Amsterdam Airport Schiphol";"2001 August";"39329";"309";"38451";"33987";"4063,517";"88530";"."
"Amsterdam Airport Schiphol";"2001 September";"37418";"269";"36432";"32634";"3551,489";"95066";"."
"Amsterdam Airport Schiphol";"2001 October";"37554";"316";"36486";"33015";"3226,663";"105253";"."
"Amsterdam Airport Schiphol";"2001 November";"32090";"304";"31059";"29663";"2656,842";"106775";"."
"Amsterdam Airport Schiphol";"2001 December";"31022";"252";"30227";"28902";"2597,484";"106412";"."
"Amsterdam Airport Schiphol";"2002 January";"31655";"266";"30835";"29518";"2572,399";"91162";"."
"Amsterdam Airport Schiphol";"2002 February";"29298";"260";"28453";"27096";"2596,631";"95839";"."
"Amsterdam Airport Schiphol";"2002 March";"33488";"372";"32365";"30625";"3165,225";"115482";"."
"Amsterdam Airport Schiphol";"2002 April";"34175";"283";"33107";"30678";"3303,145";"101120";"."
"Amsterdam Airport Schiphol";"2002 May";"36835";"347";"35599";"32080";"3698,247";"100253";"."
"Amsterdam Airport Schiphol";"2002 June";"35744";"355";"34519";"31213";"3668,631";"103424";"."
"Amsterdam Airport Schiphol";"2002 July";"38056";"297";"36973";"32803";"4130,433";"98256";"."
"Amsterdam Airport Schiphol";"2002 August";"37560";"349";"36840";"32546";"4131,400";"96716";"."
"Amsterdam Airport Schiphol";"2002 September";"36214";"302";"35111";"31645";"3864,358";"101489";"."
"Amsterdam Airport Schiphol";"2002 October";"36788";"269";"35663";"32188";"3721,110";"109809";"."
"Amsterdam Airport Schiphol";"2002 November";"32685";"286";"31670";"30019";"2892,532";"118098";"."
"Amsterdam Airport Schiphol";"2002 December";"31046";"181";"30250";"28678";"2843,451";"108250";"."
